10086	25602	25237	0	365
4001068003	23962	19544	3993	425
075595511	12157	11767	0	390
02195512	9105	8758	0	347
01095510	6638	6349	0	289
4008839258	6302	5349	821	132
10000	6255	6159	0	96
4001011982	5523	4326	1103	94
02195511	5510	5309	0	201
1008611	5188	5066	0	122
02110108888	3624	3405	0	219
02895510	3083	2943	0	140
95518	3007	2925	0	82
10010	2921	2908	0	13
4008688888	2745	2589	0	156
+0196852202	2695	2373	245	77
666666	2508	2459	5	44
66666	2398	2360	3	35
4008777777	2257	2205	0	52
888888	2072	2019	9	44
10016	1934	1871	0	63
02895550	1904	1736	0	168
10085	1838	1807	0	31
045195105132	1834	1322	278	234
02195590	1790	1688	0	102
02138510088	1761	1716	0	45
4000818818	1760	1448	229	83
02795522	1755	1723	0	32
02795500	1733	1679	0	54
10088	1700	1675	0	25
68888	1656	1632	3	21
01095522	1595	1539	0	56
04008839258	1581	1283	278	20
055165198880	1548	1239	274	35
02138510126	1505	1048	19	438
+0190852203	1472	1416	20	36
02995500	1465	1418	29	18
02759233515	1463	1153	24	286
+0196852201	1452	1266	94	92
4001060609	1440	1239	26	175
02138510106	1426	1042	12	372
04001068003	1403	1125	211	67
688888	1390	1361	2	27
4009668668	1385	1285	51	49
15369227203	1369	1369	0	0
10018	1321	1297	0	24
02110086	1307	1276	0	31
95588	1297	1264	0	33
02110105555	1234	1039	139	56
02110100000	1212	1192	0	20
+01901212	1209	970	222	17
02120219999	1198	974	134	90
18771936707	1194	0	0	1194
02010131899	1182	1162	0	20
02096585	1180	1145	0	35
69999	1172	1124	0	48
95511	1169	1152	0	17
02161136666	1160	1144	0	16
02010010	1125	1099	8	18
01095595	1104	1080	0	24
13800592107	1103	947	128	28
020116114	1085	1049	0	36
04765872777	1074	853	206	15
02151319888	1068	1009	0	59
0294008005800	1052	840	199	13
051295511	1046	1027	0	19
66888	1046	1019	5	22
05356303456	1038	735	171	132
118114	1032	1013	0	19
04001011982	991	780	191	20
02195550	957	896	0	61
059138168809	952	661	167	124
100003	945	918	0	27
02895568	943	910	4	29
051595510	941	898	30	13
+17901	939	718	212	9
04762891136	924	743	173	8
01053256293	920	781	131	8
12530999	903	794	100	9
67777	897	881	1	15
4008305555	895	878	0	17
66999	894	879	3	12
4008000111	882	844	1	37
075510010	866	822	11	33
+0190852213	866	791	64	11
10011	858	840	0	18
052788105500	838	831	0	7
18402940000	833	735	89	9
65555	816	793	1	22
04762891133	810	648	156	6
0118114	809	732	68	9
4008695508	808	652	103	53
